Aging,Aver_thickness,Aver_pore_size,Total_pore_volume,Micropore_volume,Specific_surface_Area,Kinetic_diameter ,Critical_temp,Polarizability,Temperature,Delta_pressure,Feed_flow_rate,Molar_mass _sweep_gas,Sweep_gas_flow,Molar_fraction,Permeability
28.94764,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
187.9544,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
4.03483,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
38.06997,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
251.1886,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
7.024282,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
63.94775,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
346.5819,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2.796417,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
27.83942,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
186.088875,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
3.998911,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
29.37387,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
188.28864,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
4.006265,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
37.837878,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
248.4868,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
7.004888,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
63.15262,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
346.8306,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2.793727,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
27.56215,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
186.2339,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
4.006265,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
29.09353,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
189.621,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
3.998911,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,779.8514
37.73106,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,826.3419
248.9525,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,983.1133
7.024282,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1494.707
62.81426,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1377.378
346.287525,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1218.425
2.796417,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1206.038
27.59159,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1157.736
185.3366,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,1096.329
3.998911,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,921.5036
28.85321,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,930.9683
187.0013,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,1,890.644
4.015134,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
37.79288,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
248.4999,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
7.001323,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
63.01091,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
346.2863,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
2.779788,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
27.603756,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
186.5054,110.9054,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
4.015134,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
29.076126,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
188.1855,132.508,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
4.03483,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,NaN,NaN,NaN,NaN
